[x] 2026-01-07 | Setup | Repo-Basis steht | fertig wenn: Push erfolgreich
[x] 2026-01-09 | Launcher | Klick&Start-Datei für GUI-Startübersicht | prüfen: klick_start.sh ausführen | fertig wenn: GUI öffnet sich
[x] 2026-01-09 | Launcher | GUI-Startübersicht mit Themes und Debug | prüfen: launcher_gui.py öffnen | fertig wenn: Module sichtbar
[x] 2026-01-07 | Architektur | Zentrale Tool-Standards definieren | prüfen: standards.md öffnen | fertig wenn: eine verbindliche Standards-Datei existiert
[x] 2026-01-07 | Architektur | Einheitliche Modul-Schnittstelle festlegen | prüfen: zwei Module vergleichen | fertig wenn: gleiche Init-/Exit-Struktur
[x] 2026-01-09 | UI | Launcher-GUI: Fokusrahmen und Kontrast für Bedienelemente verbessern | prüfen: launcher_gui.py öffnen | fertig wenn: Fokus klar sichtbar
[x] 2026-01-09 | UI | Launcher-GUI: zusätzliche barrierefreie Farbschemata ergänzen | prüfen: config/launcher_gui.json öffnen | fertig wenn: mindestens zwei neue Themes auswählbar
[x] 2026-01-07 | Architektur | Zentrales Datenmodell festlegen | prüfen: Module greifen darauf zu | fertig wenn: ein gemeinsames Schema genutzt wird

[x] 2026-01-07 | Launcher | Launcher zeigt alle Tools übersichtlich | prüfen: Start öffnen | fertig wenn: alle Module klickbar erreichbar
[x] 2026-01-07 | Launcher | Startroutine prüft Projektstruktur | prüfen: Ordner löschen, starten | fertig wenn: Struktur automatisch neu erstellt
[x] 2026-01-10 | Launcher | Startroutine prüft Abhängigkeiten automatisch | prüfen: requirements.txt anpassen, starten | fertig wenn: fehlende Pakete werden installiert
[x] 2026-01-07 | Launcher | Fortschrittsanzeige beim Start einbauen | prüfen: Start beobachten | fertig wenn: Prozent sichtbar
[x] 2026-01-07 | Launcher | Fehler laienverständlich erklären | prüfen: Fehler provozieren | fertig wenn: klare Meldung erscheint

[x] 2026-01-07 | Steuerung | Einheitliches To-Do-Format erzwingen | prüfen: falsches Format eingeben | fertig wenn: Fehler erkannt wird
[x] 2026-01-07 | Steuerung | To-Do logisch zu Agent zuordnen | prüfen: To-Do anlegen | fertig wenn: genau ein Agent entsteht
[x] 2026-01-07 | Steuerung | Fortschritt aus To-Dos berechnen | prüfen: To-Do abhaken | fertig wenn: Prozent korrekt steigt

[x] 2026-01-07 | Tests | Basis-Selftest-Modul integrieren | prüfen: Selftest starten | fertig wenn: grün/rot sichtbar
[x] 2026-01-07 | Tests | Startroutine automatisch testen | prüfen: Fehler simulieren | fertig wenn: Fehler erkannt
[x] 2026-01-07 | Tests | Tests erst nach kompletter Runde ausführen | prüfen: 3 Tasks erledigt | fertig wenn: Tests dann starten

[x] 2026-01-07 | Logs | Zentrales Logging einheitlich umsetzen | prüfen: Aktion auslösen | fertig wenn: Logeintrag entsteht
[x] 2026-01-07 | Logs | Letzte 10 Ereignisse anzeigen | prüfen: 12 Aktionen | fertig wenn: nur 10 sichtbar
[x] 2026-01-07 | Logs | Log-Export ermöglichen | prüfen: Export klicken | fertig wenn: Datei erzeugt wird


[x] 2026-01-07 | UI | Einheitliche Farben und Abstände definieren | prüfen: zwei Module vergleichen | fertig wenn: konsistentes Erscheinungsbild
[x] 2026-01-07 | UI | Tastaturbedienung vollständig prüfen | prüfen: ohne Maus bedienen | fertig wenn: alles erreichbar
[x] 2026-01-07 | UI | Kontrast und Lesbarkeit optimieren | prüfen: Darkmode testen | fertig wenn: gut lesbar

[x] 2026-01-07 | Sprache | Alle UI-Texte auf Deutsch prüfen | prüfen: englische Begriffe suchen | fertig wenn: alles deutsch
[x] 2026-01-07 | Sprache | Fehlermeldungen vereinheitlichen | prüfen: zwei Fehler erzeugen | fertig wenn: gleicher Stil

[x] 2026-01-07 | Module | Neues Modul nach Standards integrieren | prüfen: Modul hinzufügen | fertig wenn: ohne Sonderlogik
[x] 2026-01-07 | Module | Modul-Check beim Start durchführen | prüfen: defektes Modul | fertig wenn: sauber abgefangen
[x] 2026-01-07 | Module | Modul-Check beim Start durchführen | prüfen: defektes Modul | fertig wenn: sauber abgefangen
[x] 2026-01-07 | Architektur | Zentrale Tool-Standards definieren | prüfen: standards.md öffnen | fertig wenn: Standards-Datei existiert
[x] 2026-01-07 | Architektur | Einheitliche Modul-Schnittstelle festlegen | prüfen: zwei Module vergleichen | fertig wenn: gleiche Init-/Exit-Struktur
[x] 2026-01-07 | Module | Modul-Check beim Start durchführen | prüfen: defektes Modul | fertig wenn: sauber abgefangen
[x] 2026-01-07 | Architektur | Zentrale Tool-Standards definieren | prüfen: standards.md öffnen | fertig wenn: Standards-Datei existiert
[x] 2026-01-07 | Architektur | Einheitliche Modul-Schnittstelle festlegen | prüfen: zwei Module vergleichen | fertig wenn: gleiche Init-/Exit-Struktur
[x] 2026-01-10 | Tests | Pytest als Standard-Testlauf einführen | prüfen: scripts/run_tests.sh ausführen | fertig wenn: pytest läuft
[x] 2026-01-10 | Qualität | Automatische Codequalität und Formatprüfung ergänzen | prüfen: scripts/run_tests.sh ausführen | fertig wenn: Ruff/Black laufen
[x] 2026-01-11 | Module | Notiz-Editor-Modul mit Templates, Favoriten und Dashboard integrieren | prüfen: Module laden | fertig wenn: Notiz-Editor liefert Datenstrukturen
[x] 2026-01-11 | Module | Charakter-Modul mit Templates, Favoriten und Dashboard integrieren | prüfen: Module laden | fertig wenn: Charakter-Modul liefert Datenstrukturen
[x] 2026-01-12 | Module | Download-Ordner professionell aufräumen (Plan, Log, Undo) | prüfen: Modul-Scan + Undo | fertig wenn: Dateien werden organisiert und rückgängig gemacht
[x] 2026-01-12 | Module | Datei-Suche mit Filtern, Organisation und Undo | prüfen: Suche + Organisieren + Undo | fertig wenn: Treffer lassen sich filtern und organisieren
[x] 2026-01-13 | Tests | Testskript robuster machen (Fehlerfalle + klare Hinweise) | prüfen: scripts/run_tests.sh | fertig wenn: Fehler werden erklärt
[x] 2026-01-13 | Tests | Testskript mit Hilfe-Option für Laien ergänzen | prüfen: scripts/run_tests.sh --help | fertig wenn: klare Nutzung erscheint
